SO2;NO2;O3;PM2.5;PM10
9,26;23,65;31,94;36,80;62,67
26,99;45,90;22,09;56,04;97,66
19,71;43,28;29,14;64,30;109,68
11,01;37,85;25,98;55,23;101,65
10,24;32,65;26,65;46,62;95,61
8,25;20,44;26,84;31,02;61,79
25,97;30,91;21,15;27,62;57,70
17,17;40,13;28,65;40,99;86,15
14,00;36,11;29,52;53,74;95,91
23,32;35,27;26,07;73,27;119,61
25,13;55,02;35,14;68,64;121,96
22,46;46,31;42,59;65,72;92,80
27,49;50,24;41,08;64,34;95,48
27,57;52,41;30,75;68,39;104,01
22,19;48,64;26,73;71,19;114,61
20,61;37,05;29,66;59,72;100,72
25,62;44,83;23,71;54,60;104,60
13,11;40,01;38,37;54,56;99,35
18,52;37,50;23,63;51,87;89,97
19,96;30,86;30,76;34,34;70,49
20,21;39,55;35,80;36,02;69,74
20,94;39,35;32,81;42,85;91,32
10,67;30,45;33,60;39,85;90,96
10,69;33,12;27,47;41,88;82,86
4,96;22,38;31,09;26,08;69,44
3,66;9,80;31,79;12,14;22,46
10,43;18,39;29,19;19,35;35,86
21,35;43,01;22,31;52,86;84,72
21,69;48,48;29,92;75,78;118,50
37,29;55,41;22,45;66,20;109,98
29,09;56,57;33,17;73,53;124,27
14,15;40,54;27,36;45,63;82,54
16,73;42,25;22,75;58,14;94,95
16,29;44,10;16,53;62,26;94,52
19,13;47,10;22,50;51,70;90,04
20,36;44,90;27,61;47,19;95,48
22,75;44,15;28,23;45,88;88,18
16,66;35,44;33,91;50,58;97,26
8,12;26,39;39,52;30,13;81,19
8,45;25,03;35,80;26,81;38,79
4,86;15,97;34,10;23,28;24,55
5,82;25,11;22,40;25,74;35,54
11,15;35,19;23,21;39,35;56,66
11,03;31,79;27,01;43,93;64,02
28,19;52,19;19,00;56,86;95,15
15,74;44,40;26,34;60,31;98,65
14,73;40,09;27,09;54,18;84,30
15,98;38,26;31,73;43,60;70,11
20,71;49,53;35,99;57,09;89,32
24,38;56,50;39,16;63,59;99,76
19,25;45,07;37,44;53,70;94,28
19,55;48,63;35,89;58,09;98,00
11,67;36,76;46,07;38,24;69,18
13,00;27,90;42,80;31,33;67,12
29,62;18,58;39,96;15,43;20,60
20,82;35,92;24,85;30,22;56,14
12,03;35,97;34,94;46,27;79,20
15,80;38,68;33,20;44,52;82,55
24,06;41,19;41,55;42,92;75,46
11,46;35,05;50,34;35,47;79,77
4,85;12,64;45,36;20,75;47,18
3,53;5,31;43,84;8,20;21,16
12,74;15,65;34,62;12,34;26,54
24,83;31,59;28,77;28,70;50,89
16,66;34,84;30,49;28,12;62,35
23,60;46,27;30,90;53,72;101,11
20,04;42,37;38,58;52,00;92,45
15,81;32,52;45,68;42,15;73,56
7,76;22,83;46,24;31,16;59,92
8,39;30,95;38,75;29,64;60,81
8,12;34,82;41,82;33,05;77,54
19,20;38,46;31,03;43,44;77,31
17,06;40,71;40,42;47,02;91,01
11,62;36,08;34,70;50,01;101,38
8,82;27,97;35,21;36,98;82,22
11,29;29,33;38,52;35,83;70,71
8,95;39,03;38,59;47,67;87,56
12,53;41,08;40,58;46,14;84,19
5,61;24,71;42,10;24,49;52,89
23,54;54,80;27,42;50,10;101,84
28,53;57,79;35,29;67,65;124,84
41,23;61,28;41,43;70,26;123,01
22,69;36,23;57,94;52,29;112,05
4,88;12,09;49,19;20,01;55,79
5,73;6,40;42,50;9,74;19,38
9,97;15,59;40,58;18,36;23,95
5,84;22,47;35,15;27,38;41,02
14,50;30,62;34,94;31,70;53,76
6,90;21,10;55,28;28,32;82,59
6,38;8,22;47,23;21,34;66,43
16,21;33,78;37,00;31,83;56,09
19,56;44,78;45,13;54,33;90,98
16,47;40,50;59,70;54,10;109,98
9,62;17,78;45,53;16,60;43,45
39,42;38,47;39,95;35,35;93,26
10,96;26,33;57,85;36,26;83,87
10,40;24,50;58,14;26,03;61,94
13,32;42,09;50,93;40,73;92,50
22,05;47,68;59,31;47,25;101,06
19,89;43,62;55,05;44,04;103,86
13,11;45,57;59,99;45,29;93,30
14,84;48,92;58,80;45,57;93,33
11,83;31,57;79,63;39,46;96,10
17,53;24,31;47,18;31,03;89,30
12,60;33,57;49,08;34,80;81,93
15,19;44,96;44,68;41,42;94,20
15,47;48,65;49,03;44,33;96,77
16,16;42,59;65,67;45,03;95,77
23,68;37,31;69,67;40,50;100,56
8,73;20,49;57,00;21,21;78,84
22,51;31,84;55,39;33,40;75,96
9,05;23,81;47,68;20,91;62,62
14,00;30,24;46,04;29,72;89,62
6,50;21,41;47,92;23,56;72,66
11,93;27,94;40,83;19,52;34,57
11,90;30,61;55,51;22,56;29,97
10,58;36,68;51,96;36,62;64,83
10,75;31,17;61,61;34,00;55,49
8,15;23,05;53,86;18,16;38,57
20,16;33,42;51,52;25,48;51,36
6,68;27,05;74,02;24,67;48,94
7,24;27,82;69,89;31,87;76,45
17,75;26,37;41,62;29,55;74,53
21,94;25,48;32,69;21,36;36,68
30,54;26,17;41,79;18,53;32,62
27,91;36,67;45,66;22,82;55,59
10,39;31,45;51,92;25,35;51,21
8,53;30,02;54,70;23,22;49,70
14,65;33,71;69,61;30,88;75,89
14,84;31,46;76,94;30,62;62,83
6,81;22,84;86,12;26,77;50,89
7,45;21,67;46,37;15,04;23,40
7,46;22,07;43,63;15,38;27,02
19,93;33,58;50,04;23,84;40,47
10,06;30,02;69,01;25,32;54,25
11,92;27,12;81,11;32,84;98,55
6,24;19,49;84,93;18,55;55,40
21,74;18,85;42,06;10,99;37,53
11,23;27,76;42,74;18,03;32,60
9,58;38,53;59,68;25,76;55,82
23,36;46,81;79,82;34,92;79,29
22,66;46,97;80,62;39,88;90,45
16,73;42,40;67,99;33,50;78,21
14,41;42,89;71,20;36,31;82,52
16,02;36,26;86,39;36,66;77,07
12,01;30,13;90,90;19,60;51,77
10,85;21,15;82,15;36,75;78,29
7,63;21,50;64,73;39,02;66,38
10,86;20,84;79,60;31,55;46,41
12,44;27,76;76,54;41,56;56,99
5,68;19,99;67,99;19,69;26,78
19,76;27,45;66,77;41,48;53,38
11,22;21,87;71,69;44,96;51,19
6,33;28,67;57,52;31,55;44,19
8,47;24,21;77,81;28,20;42,18
9,39;21,90;87,97;17,91;31,29
3,42;18,41;72,42;12,77;24,88
12,27;27,89;65,32;19,92;44,21
8,40;22,27;67,20;23,27;43,39
4,75;20,62;84,81;21,60;34,81
4,39;21,48;61,76;20,31;34,17
12,00;27,14;51,01;25,96;53,13
8,77;22,73;41,91;18,57;37,41
3,58;18,21;46,75;14,34;29,47
3,87;27,90;51,48;22,28;39,97
8,33;26,85;50,74;38,19;51,76
5,89;19,80;64,79;18,99;30,40
7,82;21,91;60,22;17,89;30,66
5,75;18,71;62,27;13,90;40,38
10,21;19,15;48,76;10,01;31,69
30,61;30,41;40,66;24,24;40,22
12,89;30,54;52,22;22,38;44,66
11,59;20,94;61,59;17,80;38,32
11,67;25,42;54,93;19,19;39,74
8,07;24,82;61,82;16,37;45,14
5,18;28,14;58,33;23,01;54,85
21,07;30,30;60,45;31,77;74,52
34,45;34,41;34,68;23,39;39,07
10,75;24,41;52,59;15,65;30,45
10,60;29,43;66,00;24,31;39,22
6,87;27,96;78,52;23,21;37,10
4,52;21,12;74,31;24,31;37,32
7,85;31,13;69,86;28,92;51,23
21,72;40,79;81,71;28,20;48,07
7,13;36,79;79,44;20,69;32,12
6,71;33,96;80,36;25,08;46,23
6,05;34,30;82,34;17,78;34,84
13,12;28,00;70,76;27,41;40,91
5,45;29,34;56,91;20,47;37,55
7,58;37,87;59,46;21,97;53,04
6,74;34,21;61,30;25,35;56,81
12,79;24,92;81,57;18,49;41,80
7,41;22,34;85,68;21,45;33,99
6,23;18,94;75,55;23,86;29,76
3,81;19,31;57,66;16,36;25,21
